objectid_1	objectid	acreage	sqft	final_cat	type_	sector	origpkname	updatepknm	alterntnam	divname	shape_leng	globalid	created_user	created_date	last_edited_user	last_edited_date	maintenanceresponsibility	Shape__Area	Shape__Length	GlobalID_2
19817								Fowler Park					pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Northern	1.87E-06	0.005756878	b37c6662-06f7-497b-9129-88c0abf96ba1
97019								Washington's Landing Park					pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Northern	3.80E-06	0.009729931	241ffe57-dea4-4905-b201-0dccd35a5b35
97020								Washburn Square Park					pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Northern	3.94E-07	0.002920588	d5d72b34-d8dd-4244-8706-5095b3469722
97022								Venson Park					pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Southern	8.23E-08	0.001148025	79923663-b8fc-4886-9366-17cb75557feb
97023								Beechview Senior Center Park					pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Western	5.94E-08	0.000991399	13e924d2-32b6-486c-879f-4541c7252f4b
97025								Emerald View Park - Shiloh Street Park					pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Western	2.42E-08	0.000649977	e32494f6-e76f-4431-bf93-164ed4f1be27
207484								Monongahela Wharf Landing Park					pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Northern	5.62E-07	0.012128602	95631d76-ed55-477e-be74-b0ffd84ce027
208691								Brighton Heights Senior Center					pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Northern	3.12E-07	0.002246837	88c8f9fc-2bde-468c-bca4-79c5673d215c
209488								Paulson Rec Center					pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Eastern	1.68E-07	0.001862741	bbbc2301-a68a-4f42-95ff-32224d4e378b
209489								Oliver Bath House					pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Southern	6.58E-08	0.001084027	54c60d16-9026-4564-946a-0c76731e41a1
209490								West End Senior Center					pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	Parks - Western	2.92E-07	0.002220938	083a789f-79da-49cb-b895-cd6264fd8909
237520								Swisshelm War Memorial					pgh.admin	2017-07-18T14:29:01.712Z	pgh.admin	2017-07-18T14:29:01.712Z	3rd Division	7.06E-09	0.000377904	c592f394-16a2-4656-bd9a-cdfffc4e89fa
